1st_choice,2nd_choice,3rd_choice,ssc_or_olevel,hsc_or_alevel,medium,ssc_board,hsc_board,registered_program,target_dept
ARC-1,CSE-2,CS-3,4.8,4.5,eng,,,ARC,Architecture
ECE-1,EEE-2,CSE-3,5,4.08,ban,,,ECE,ElectricalandElectronicEngr
BIO-1,CSE-2,BBA-3,5,5,eng-ver,Dhaka,Dhaka,BIO,MNS
ARC-1,BIO-2,EEE-3,5,5,eng,,,BIO,MNS
ARC-1,LLB-2,,4.6,,eng,,,LLB,School_of_Law
LLB-1,ENG-2,BBA-3,5,5,ban,Dhaka,Dhaka,LLB,School_of_Law
EEE-1,CSE-2,,4.13,4.3,ban,Dhaka,Dhaka,EEE,ElectricalandElectronicEngr
CSE-1,ARC-2,,5,5,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
CSE-1,EEE-2,,5,4.3,eng-ver,Comilla,Dhaka,CS,ComputerSciandEngr
LLB-1,ENG-2,ANT-3,4.19,4.5,ban,Dhaka,Dhaka,LLB,School_of_Law
ARC-1,EEE-2,,5,4.9,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
ARC-1,MIC-2,PHR-3,5,4.3,ban,Dhaka,Dhaka,MIC,MNS
MIC-1,PHR-2,BIO-3,5,3,eng,,,BIO,MNS
ARC-1,BBA-2,ECO-3,5,3.67,eng,,,ARC,Architecture
CSE-1,ECE-2,,5,5,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
ENG-1,,,4.94,4.2,ban,Dhaka,Dhaka,ENG,ENH
CSE-1,EEE-2,PHR-3,5,4.6,ban,Dhaka,Dhaka,PHR,Pharmacy
LLB-1,,,4.94,4.2,ban,Dhaka,Dhaka,LLB,School_of_Law
CSE-1,BBA-2,,5,4.8,ban,Dhaka,Dhaka,CSE,ComputerSciandEngr
CSE-1,ENG-2,PHR-3,5,3.8,ban,Jessore,Jessore,BIO,MNS
LLB-1,ECO-2,,5,4.8,ban,Dhaka,Dhaka,LLB,School_of_Law
MIC-1,BIO-2,PHR-3,5,5,ban,Dhaka,Dhaka,MIC,MNS
PHR-1,ECE-2,BIO-3,5,4.5,eng,,,ECE,ElectricalandElectronicEngr
BIO-1,PHR-2,MIC-3,5,4.1,eng-ver,CBSE,CBSE,BIO,MNS
ECE-1,EEE-2,,,,ban,,,EEE,ElectricalandElectronicEngr
EEE-1,CSE-2,,5,5,ban,Dhaka,Dhaka,CS,ComputerSciandEngr
LLB-1,CSE-2,ARC-3,4.94,4,ban,Barisal,Barisal,LLB,School_of_Law
LLB-1,ENG-2,,4.75,4.4,ban,Dhaka,Dhaka,LLB,School_of_Law
BIO-1,MIC-2,PHR-3,5,5,eng,,,BIO,MNS
EEE-1,CSE-2,ARC-3,4.8,3.75,eng,,,EEE,ElectricalandElectronicEngr
PHR-1,CSE-2,BIO-3,5,4.58,ban,Dhaka,Dhaka,MIC,MNS
ENG-1,BBA-2,ECO-3,5,3.1,ban,Dhaka,Dhaka,ECO,ESS
MIC-1,PHR-2,BBA-3,5,5,ban,Dhaka,Dhaka,MIC,MNS
BBA-1,ENG-2,,4.38,4.1,ban,Comilla,Dhaka,ENG,ENH
ARC-1,BBA-2,,4.63,4.9,ban,Dhaka,Dhaka,LLB,School_of_Law
EEE-1,CSE-2,ECE-3,,4.78,eng,,,CS,ComputerSciandEngr
PHR-1,EEE-2,CSE-3,5,5,ban,Rajshahi,Rajshahi,PHR,Pharmacy
CS-1,EEE-2,ARC-3,5,4.4,ban,Rajshahi,Rajshahi,ARC,Architecture
ENG-1,LLB-2,ANT-3,5,4.3,ban,Dhaka,Dhaka,ENG,ENH
ARC-1,ECO-2,,,,ban,,,ARC,Architecture
BIO-1,MIC-2,PHY-3,5,5,ban,Dhaka,Dhaka,BIO,MNS
MIC-1,ECO-2,BBA-3,5,4.1,ban,Dhaka,Dhaka,MIC,MNS
CSE-1,BBA-2,,5,5,ban,Dinajpur,Dinajpur,CSE,ComputerSciandEngr
BBA-1,ECO-2,LLB-3,4.88,5,ban,Rajshahi,Rajshahi,LLB,School_of_Law
ECO-1,BBA-2,,,,eng-ver,,,ECO,ESS
ECO-1,BBA-2,ENG-3,4.94,5,ban,Dhaka,Dhaka,ECO,ESS
BBA-1,ECO-2,,5,4.4,ban,Comilla,Comilla,BBA,Brac_Business_School
