1st_choice,2nd_choice,3rd_choice,ssc_or_olevel,hsc_or_alevel,medium,ssc_board,hsc_board,Credit Earned,CGPA,registered_program,target_dept
PHY-1,MAT-2,,4.88,3.8,ban,Jessore,Jessore,83.50,3.67,ANT,ESS
ECO-1,BBA-2,ENG-3,5,5,ban,Dhaka,Dhaka,126.00,2.97,ANT,ESS
ANT-1,ECO-2,BBA-3,,,ban,,,12.00,3.23,ANT,ESS
ANT-1,ENG-2,LLB-3,5,4.1,ban,Dhaka,Dhaka,60.00,2.66,ANT,ESS
CSE-1,CS-2,EEE-3,5,5,ban,Dhaka,Dhaka,27.00,2.24,ANT,ESS
ECO-1,BBA-2,ANT-3,5,5,ban,Dhaka,Dhaka,45.00,2.88,ANT,ESS
ECO-1,BBA-2,ENG-3,5,5,ban,Dhaka,Dhaka,30.00,3.02,ANT,ESS
ARC-1,CSE-2,EEE-3,4.87,2.67,eng,,,94.00,3.57,ANT,ESS
PHR-1,MIC-2,CS-3,5,4.3,ban,Dhaka,Dhaka,50.50,2.77,ANT,ESS
BBA-1,ENG-2,ANT-3,4.94,4.6,ban,Dhaka,Dhaka,21.00,3.97,ANT,ESS
BBA-1,LLB-2,ANT-3,4.19,4.4,ban,Dinajpur,Dinajpur,18.00,3.24,ANT,ESS
BBA-1,ANT-2,ECO-3,4.8,3.5,eng,,,132.00,2.02,ANT,ESS
BIO-1,MIC-2,ECO-3,4.5,4.5,ban,Dhaka,Dhaka,110.00,2.44,ANT,ESS
CSE-1,EEE-2,ANT-3,5,4.7,ban,Dhaka,Dhaka,78.00,3,ANT,ESS
ANT-1,BBA-2,,4,3.5,eng,,,130.00,2.79,ANT,ESS
ECO-1,ANT-2,,5,5,ban,Dhaka,Dhaka,30.00,3.81,ANT,ESS
ANT-1,ENG-2,ECO-3,4.4,2.7,eng,,,136.00,2.33,ANT,ESS
ECO-1,BBA-2,ANT-3,4.69,5,ban,Dhaka,Dhaka,63.00,2.3,ANT,ESS
ANT-1,ENG-2,ECO-3,5,3.5,eng,Dhaka,,98.50,2.02,ANT,ESS
ANT-1,ECO-2,LLB-3,4.19,4,ban,Dhaka,Dhaka,54.00,2.55,ANT,ESS
ECO-1,ANT-2,ENG-3,5,4,eng,,,81.00,2.8,ANT,ESS
BBA-1,ECO-2,ANT-3,5,5,ban,Dhaka,Dhaka,75.00,3.37,ANT,ESS
BBA-1,ECO-2,ANT-3,4.88,5,ban,Dhaka,Dhaka,60.00,3.48,ANT,ESS
ANT-1,ENG-2,LLB-3,4.6,2.5,eng,,,130.00,2.75,ANT,ESS
LLB-1,ECO-2,BBA-3,4.56,5,ban,Dhaka,Dhaka,33.00,3.91,ANT,ESS
ANT-1,ENG-2,LLB-3,5,4,eng,,,139.00,2.29,ANT,ESS
ENG-1,ANT-2,,5,4.5,eng,,,9.00,2.43,ANT,ESS
MAT-1,EEE-2,ANT-3,3.6,,ban,,,39.00,2.86,ANT,ESS
ANT-1,,,4,3,eng,,,47.50,3.73,ANT,ESS
BBA-1,ECO-2,ANT-3,4.13,4.08,ban,Dhaka,Dhaka,15.00,2.99,ANT,ESS
ENG-1,ANT-2,LLB-3,4.6,3.5,eng,,,87.00,2.56,ANT,ESS
ANT-1,ENG-2,,3.5,2.5,eng,,,114.00,2.36,ANT,ESS
ENG-1,LLB-2,ANT-3,5,5,ban,,,9.00,2.72,ANT,ESS
ARC-1,ANT-2,PHY-3,5,4.58,ban,,,33.00,2.88,ANT,ESS
ANT-1,ENG-2,LLB-3,5,4,ban,Others,Others,15.00,3.47,ANT,ESS
MIC-1,BIO-2,ANT-3,5,4.75,ban,Dhaka,Dhaka,21.00,3.08,ANT,ESS
BBA-1,ENG-2,ANT-3,3.88,3.64,eng-ver,Dhaka,Dhaka,33.00,2.29,ANT,ESS
ARC-1,ECO-2,ENG-3,5,4.83,ban,Dhaka,Dhaka,21.00,3.14,ANT,ESS
ANT-1,,,5,3.5,eng,,,21.00,2.91,ANT,ESS
ENG-1,BBA-2,ANT-3,5,3.92,ban,Rajshahi,Rajshahi,85.00,2.54,ANT,ESS
ANT-1,,,3,3,eng,,,61.50,3.9,ANT,ESS
ANT-1,ECO-2,LLB-3,4,3,eng,CBSE,,12.00,2.18,ANT,ESS
ENG-1,ANT-2,ECO-3,4.56,3.67,ban,Dhaka,Dhaka,81.00,3.44,ANT,ESS
ECO-1,ANT-2,ENG-3,4.75,4.67,ban,Dhaka,Dhaka,21.00,2.91,ANT,ESS
CSE-1,APE-2,ANT-3,5,4.5,ban,Dhaka,Dhaka,45.00,3.99,ANT,ESS
ANT-1,PHR-2,MIC-3,5,3.83,ban,Dhaka,Dhaka,102.00,3.92,ANT,ESS
ANT-1,LLB-2,BBA-3,5,4.67,ban,Dhaka,Dhaka,57.00,3.55,ANT,ESS
ANT-1,BBA-2,LLB-3,5,5,ban,Dhaka,Dhaka,48.00,2.72,ANT,ESS
ARC-1,MIC-2,ANT-3,5,4.25,ban,Barisal,Dhaka,96.00,2.75,ANT,ESS
LLB-1,ECO-2,ANT-3,4.81,4.33,ban,Dhaka,Dhaka,84.00,3.86,ANT,ESS
BIO-1,MIC-2,ANT-3,3.8,,eng,,,63.00,3.64,ANT,ESS
ANT-1,ENG-2,ECO-3,4.06,3.5,ban,Dhaka,Dhaka,73.00,2.76,ANT,ESS
ANT-1,ENG-2,ECO-3,4.5,3.89,ban,Dhaka,Dhaka,24.00,2.29,ANT,ESS
ANT-1,ENG-2,,5,4.08,ban,Dhaka,Dhaka,12.00,2.93,ANT,ESS
ANT-1,,,4,,eng,,,11.00,2.71,ANT,ESS
PHR-1,LLB-2,ANT-3,4.75,5,eng,,,54.00,2.52,ANT,ESS
ANT-1,ECO-2,BBA-3,5,4.33,ban,Dhaka,Dhaka,78.00,2.59,ANT,ESS
ANT-1,ENG-2,ECO-3,5,5,ban,Dhaka,Dhaka,186.00,2.86,ANT,ESS
BBA-1,ENG-2,ANT-3,4,3.58,ban,Dhaka,Dhaka,15.00,2.49,ANT,ESS
ANT-1,ENG-2,LLB-3,5,4.25,ban,Comilla,Comilla,94.00,3.67,ANT,ESS
MIC-1,BIO-2,ANT-3,4.39,3.83,ban,Dhaka,Comilla,60.00,2.02,ANT,ESS
APE-1,MAT-2,,,,eng-ver,,,111.00,3.79,APE,MNS
APE-1,BIO-2,,4.8,4.5,eng,,,30.00,2.28,APE,MNS
ARC-1,CSE-2,,4.88,5,ban,Dhaka,Dhaka,60.00,2.69,APE,MNS
ECE-1,ECO-2,,5,5,eng,,,39.00,2.41,APE,MNS
BBA-1,PHY-2,PHR-3,5,5,ban,Dhaka,Dhaka,60.00,2.04,APE,MNS
ENG-1,PHY-2,APE-3,4.88,3.3,eng,,,129.00,2.85,APE,MNS
EEE-1,ECE-2,APE-3,4.2,,ban,,,90.00,2.02,APE,MNS
ARC-1,LLB-2,,5,5,ban,Dhaka,Dhaka,136.00,2.02,APE,MNS
PHY-1,APE-2,MAT-3,5,5,ban,Dhaka,Dhaka,39.00,2.51,APE,MNS
APE-1,PHY-2,ECE-3,5,5,ban,Dhaka,Dhaka,42.00,2.38,APE,MNS
APE-1,PHY-2,EEE-3,5,4,eng,,,111.00,2.37,APE,MNS
APE-1,BIO-2,EEE-3,5,5,eng,,,33.00,3.87,APE,MNS
APE-1,PHY-2,MAT-3,5,4.5,eng,,,33.00,2.46,APE,MNS
APE-1,EEE-2,CSE-3,4.87,4,eng,,,45.00,2.11,APE,MNS
APE-1,,,4.4,3.4,eng,,,81.00,2.72,APE,MNS
PHY-1,APE-2,EEE-3,5,3,eng,,,47.50,3.54,APE,MNS
PHY-1,CSE-2,EEE-3,5,4,eng,,,106.00,3.79,APE,MNS
EEE-1,APE-2,ARC-3,5,5,ban,Dhaka,Dhaka,21.00,2.71,APE,MNS
PHR-1,MIC-2,APE-3,5,5,ban,Jessore,Jessore,87.00,2.19,APE,MNS
CSE-1,EEE-2,APE-3,5,5,ban,Dhaka,Dhaka,136.00,2.1,APE,MNS
EEE-1,APE-2,CSE-3,4.89,4.67,ban,Dhaka,Dhaka,42.00,2.35,APE,MNS
CSE-1,EEE-2,APE-3,5,5,ban,Dhaka,Dhaka,54.00,3.42,APE,MNS
APE-1,EEE-2,PHY-3,5,5,ban,Dhaka,Dhaka,126.00,2.18,APE,MNS
ARC-1,CS-2,APE-3,5,4.75,eng-ver,Dhaka,Dhaka,15.00,2.41,APE,MNS
ARC-1,ENG-2,APE-3,5,4.25,ban,Dhaka,Dhaka,132.00,3.28,APE,MNS
ARC-1,ECO-2,,5,5,ban,Dhaka,Dhaka,75.00,3.36,ARC,Architecture
ARC-1,CS-2,,5,5,ban,Dhaka,Dhaka,45.00,3.52,ARC,Architecture
ARC-1,MAT-2,,3.5,3,eng,,,15.00,3.47,ARC,Architecture
ARC-1,CSE-2,,5,5,ban,Dhaka,Dhaka,9.00,2.62,ARC,Architecture
ARC-1,BBA-2,,5,4.7,ban,Rajshahi,Rajshahi,131.50,2.15,ARC,Architecture
ARC-1,EEE-2,,5,4,eng,,,48.00,3.01,ARC,Architecture
ARC-1,BBA-2,,5,5,ban,Dhaka,Dhaka,47.00,2.77,ARC,Architecture
ARC-1,BBA-2,,5,5,ban,Dhaka,Dhaka,39.00,2.82,ARC,Architecture
ARC-1,EEE-2,,5,5,ban,Dhaka,Dhaka,36.00,4,ARC,Architecture
CSE-1,ECE-2,,,,ban,,,39.00,2.78,ARC,Architecture
ARC-1,CSE-2,,,,ban,Comilla,Dhaka,104.50,3.92,ARC,Architecture
MAT-1,ARC-2,,,,ban,,,12.00,3.91,ARC,Architecture
ARC-1,BBA-2,,5,4.6,ban,Dhaka,Dhaka,12.00,2.07,ARC,Architecture
ARC-1,BBA-2,,5,3.1,ban,Jessore,Jessore,18.00,3.42,ARC,Architecture
ARC-1,PHY-2,,,,ban,,,105.00,3.9,ARC,Architecture
ARC-1,ECO-2,,5,,ban,Dhaka,Dhaka,130.00,2.66,ARC,Architecture
ARC-1,BBA-2,,4.4,3.2,ban,Others,Others,69.00,2.05,ARC,Architecture
ARC-1,CSE-2,,,,eng-ver,Dhaka,Dhaka,75.00,2.57,ARC,Architecture
ARC-1,CSE-2,,5,5,ban,Dhaka,Dhaka,15.00,2.43,ARC,Architecture
ARC-1,CSE-2,,5,5,eng-ver,Rajshahi,Rajshahi,69.00,2.41,ARC,Architecture
ARC-1,CSE-2,,5,5,ban,Dhaka,Dhaka,126.00,3.96,ARC,Architecture
ARC-1,BBA-2,,,,ban,,,87.00,2.82,ARC,Architecture
ARC-1,CSE-2,,4.75,4.9,ban,Dhaka,Dhaka,126.00,2.15,ARC,Architecture
ARC-1,EEE-2,,5,3.9,ban,Dhaka,Dhaka,9.00,2.49,ARC,Architecture
ARC-1,BBA-2,,5,,ban,Dhaka,Dhaka,9.00,3.73,ARC,Architecture
ARC-1,CS-2,,5,5,ban,Dhaka,Dhaka,87.00,2.51,ARC,Architecture
ARC-1,MIC-2,,5,5,ban,Dhaka,Dhaka,30.00,3.35,ARC,Architecture
ARC-1,BBA-2,,3.58,4,eng,,,45.00,2.8,ARC,Architecture
ARC-1,EEE-2,,3.9,4,eng,,,108.00,3.93,ARC,Architecture
ARC-1,ECE-2,,5,4.6,ban,Barisal,Dhaka,120.00,2.68,ARC,Architecture
ARC-1,EEE-2,,5,4.9,ban,Dhaka,Dhaka,30.00,2.81,ARC,Architecture
ARC-1,ECO-2,,,,ban,,,15.00,3.94,ARC,Architecture
ARC-1,ECE-2,,,,ban,,,42.00,3.53,ARC,Architecture
ARC-1,BBA-2,,,,ban,,,84.00,3.74,ARC,Architecture
ARC-1,EEE-2,,,,ban,,,24.00,3.83,ARC,Architecture
ARC-1,EEE-2,,5,4.8,ban,Jessore,Jessore,39.00,2.6,ARC,Architecture
ARC-1,LLB-2,,5,5,ban,Dhaka,Dhaka,9.00,2.54,ARC,Architecture
CSE-1,ECE-2,,5,5,ban,Dhaka,Dhaka,138.00,3.56,ARC,Architecture
ARC-1,ECE-2,,5,4.6,ban,Dhaka,Dhaka,24.00,2.9,ARC,Architecture
ARC-1,CSE-2,,5,4,eng,,,27.00,2.61,ARC,Architecture
ARC-1,EEE-2,,5,5,ban,Dhaka,Dhaka,27.00,3.94,ARC,Architecture
ARC-1,ECE-2,,5,4.8,ban,Dhaka,Dhaka,24.00,2.68,ARC,Architecture
ARC-1,ECE-2,,4.75,3.6,ban,Dhaka,Dhaka,33.00,3.03,ARC,Architecture
ARC-1,CSE-2,,5,5,ban,Chittagong,Chittagong,60.00,3.28,ARC,Architecture
ARC-1,CSE-2,,5,4.1,ban,Dhaka,Dhaka,30.00,3.76,ARC,Architecture
ECO-1,ARC-2,,5,3,eng,,,42.00,3.34,ARC,Architecture
ARC-1,CSE-2,,4.75,4.6,ban,Dhaka,Dhaka,33.00,3.7,ARC,Architecture
ARC-1,EEE-2,CSE-3,,,ban,,,45.00,3.58,ARC,Architecture
ARC-1,CSE-2,EEE-3,5,5,ban,Dhaka,Dhaka,9.00,3.01,ARC,Architecture
CSE-1,ARC-2,CS-3,5,5,ban,Dhaka,Dhaka,126.00,2.27,ARC,Architecture
ARC-1,CSE-2,ECO-3,5,4.7,ban,Rajshahi,Dhaka,15.00,2.22,ARC,Architecture
ARC-1,EEE-2,CSE-3,5,5,ban,Dhaka,Dhaka,36.00,2.34,ARC,Architecture
ARC-1,APE-2,PHY-3,5,4.8,ban,Dhaka,Dhaka,12.00,2.82,ARC,Architecture
ARC-1,PHR-2,MIC-3,5,4.8,ban,Dhaka,Dhaka,36.00,3.45,ARC,Architecture
ARC-1,EEE-2,CSE-3,5,5,ban,Dhaka,Dhaka,30.00,2.59,ARC,Architecture
ARC-1,BBA-2,BIO-3,5,5,ban,Dhaka,Dhaka,64.00,2.93,ARC,Architecture
ARC-1,PHR-2,ECE-3,5,5,ban,Rajshahi,Dhaka,15.00,2.04,ARC,Architecture
ARC-1,EEE-2,CSE-3,5,5,ban,Dhaka,Dhaka,60.00,3.34,ARC,Architecture
ARC-1,CSE-2,EEE-3,5,5,ban,Dhaka,Dhaka,108.00,3.75,ARC,Architecture
ARC-1,EEE-2,CSE-3,5,5,eng-ver,Dhaka,Dhaka,100.00,2.45,ARC,Architecture
ARC-1,CSE-2,MIC-3,5,4.6,ban,Dhaka,Dhaka,54.00,2.53,ARC,Architecture
ARC-1,EEE-2,CSE-3,5,5,ban,Comilla,Dhaka,75.00,2.14,ARC,Architecture
ARC-1,LLB-2,ECE-3,5,4.7,ban,Comilla,Comilla,66.00,2.68,ARC,Architecture
ARC-1,EEE-2,CSE-3,4.5,3.5,ban,Dhaka,Dhaka,124.00,2.71,ARC,Architecture
ARC-1,CSE-2,ECE-3,5,4.6,ban,Comilla,Dhaka,120.00,2.49,ARC,Architecture
ARC-1,ECE-2,BBA-3,4.14,,eng,,,36.00,2.28,ARC,Architecture
ARC-1,CSE-2,ECE-3,5,5,ban,Dhaka,Dhaka,127.00,2.22,ARC,Architecture
ARC-1,BBA-2,ENG-3,,,ban,,,59.50,2.48,ARC,Architecture
ARC-1,PHR-2,LLB-3,5,5,ban,Rajshahi,Rajshahi,18.00,2.83,ARC,Architecture
ARC-1,EEE-2,PHY-3,5,4.33,eng,,,96.00,2.56,ARC,Architecture
ARC-1,EEE-2,CSE-3,5,4.8,ban,Comilla,Dhaka,53.50,2.81,ARC,Architecture
ARC-1,CSE-2,EEE-3,5,4,ban,Dhaka,Dhaka,30.00,2.58,ARC,Architecture
ARC-1,BIO-2,MIC-3,,,ban,,,130.00,2.99,ARC,Architecture
ARC-1,CSE-2,EEE-3,5,,ban,Dhaka,Dhaka,36.00,3.62,ARC,Architecture
ARC-1,CSE-2,ECE-3,5,5,ban,Dhaka,Dhaka,78.00,3.4,ARC,Architecture
ARC-1,ECO-2,,,,ban,,,15.00,2.81,ARC,Architecture
ARC-1,LLB-2,ECO-3,,,ban,,,87.00,2.08,ARC,Architecture
ARC-1,ENG-2,MAT-3,,,ban,,,60.00,2.25,ARC,Architecture
ARC-1,EEE-2,,5,5,ban,Dhaka,Dhaka,45.00,3.05,ARC,Architecture
ARC-1,CSE-2,BBA-3,5,5,ban,Dhaka,Dhaka,21.00,2.54,ARC,Architecture
ARC-1,ECE-2,CSE-3,5,4.7,ban,Dhaka,Dhaka,78.00,2.43,ARC,Architecture
ARC-1,,,5,4.8,ban,Dhaka,Dhaka,18.00,2.22,ARC,Architecture
ARC-1,BBA-2,LLB-3,4.78,,ban,Chittagong,,96.00,3.18,ARC,Architecture
CS-1,EEE-2,ARC-3,5,4.4,ban,Rajshahi,Rajshahi,48.00,4,ARC,Architecture
ARC-1,EEE-2,ECE-3,5,4.7,eng-ver,Chittagong,Chittagong,51.00,2.93,ARC,Architecture
ARC-1,ECO-2,LLB-3,5,5,ban,Chittagong,Chittagong,9.00,3.84,ARC,Architecture
ARC-1,CSE-2,EEE-3,,,ban,,,15.00,2.48,ARC,Architecture
ARC-1,CSE-2,EEE-3,5,5,ban,Dhaka,Dhaka,24.00,2.09,ARC,Architecture
ARC-1,ECE-2,EEE-3,5,4.2,ban,Chittagong,Chittagong,90.00,2.54,ARC,Architecture
ARC-1,CSE-2,ECE-3,,,ban,,,9.00,2.84,ARC,Architecture
ARC-1,CSE-2,EEE-3,5,5,eng-ver,Dhaka,Dhaka,9.00,2.04,ARC,Architecture
ARC-1,,,5,5,ban,Dhaka,Dhaka,54.00,2.97,ARC,Architecture
ARC-1,BIO-2,MIC-3,5,4.5,ban,Dhaka,Dhaka,36.00,2.76,ARC,Architecture
ARC-1,CSE-2,ENG-3,5,4.7,ban,Dhaka,Dhaka,24.00,2.06,ARC,Architecture
ARC-1,CS-2,PHR-3,5,5,ban,Dhaka,Dhaka,15.00,3.45,ARC,Architecture
ARC-1,CSE-2,EEE-3,5,5,ban,Barisal,Dhaka,162.00,3.86,ARC,Architecture
ARC-1,CSE-2,EEE-3,5,5,ban,Dhaka,Dhaka,24.00,3.49,ARC,Architecture
ARC-1,MIC-2,PHR-3,5,5,ban,Dhaka,Dhaka,9.00,3.05,ARC,Architecture
ARC-1,EEE-2,CSE-3,5,5,ban,Chittagong,Chittagong,54.00,2.96,ARC,Architecture
ARC-1,EEE-2,CSE-3,5,5,ban,Dhaka,Dhaka,120.00,2.08,ARC,Architecture
ARC-1,EEE-2,BBA-3,5,5,ban,Dhaka,Dhaka,12.00,2.82,ARC,Architecture
ARC-1,EEE-2,APE-3,,,eng-ver,,,30.00,2.17,ARC,Architecture
ARC-1,EEE-2,PHR-3,5,4.4,ban,Chittagong,Chittagong,27.00,3.12,ARC,Architecture
ARC-1,EEE-2,CSE-3,5,5,ban,Dhaka,Dhaka,99.00,2.95,ARC,Architecture
ARC-1,EEE-2,CSE-3,5,5,eng,,,33.00,2.62,ARC,Architecture
ARC-1,CSE-2,EEE-3,4.81,5,ban,Dinajpur,Dinajpur,81.00,2.33,ARC,Architecture
ARC-1,BIO-2,CSE-3,5,5,ban,Rajshahi,Rajshahi,54.00,4,ARC,Architecture
ARC-1,PHR-2,CSE-3,5,5,ban,Dhaka,Dhaka,133.00,2.56,ARC,Architecture
ARC-1,CSE-2,EEE-3,5,5,ban,Dhaka,Dhaka,15.00,2.38,ARC,Architecture
ARC-1,CSE-2,EEE-3,5,4.9,ban,Dhaka,Dhaka,18.00,4,ARC,Architecture
ARC-1,ECE-2,EEE-3,5,5,eng,,,99.00,2.35,ARC,Architecture
ARC-1,ECE-2,MIC-3,5,4.2,eng-ver,Dhaka,Dhaka,69.00,2.25,ARC,Architecture
ARC-1,CSE-2,EEE-3,5,5,ban,Dhaka,Dhaka,51.00,2.76,ARC,Architecture
ARC-1,CSE-2,EEE-3,5,5,ban,Dhaka,Dhaka,81.00,2.12,ARC,Architecture
ARC-1,ENG-2,APE-3,5,4.6,ban,Barisal,Barisal,69.00,2.67,ARC,Architecture
ARC-1,CSE-2,ECE-3,5,4.4,ban,Dhaka,Dhaka,90.00,3.64,ARC,Architecture
ARC-1,CSE-2,EEE-3,5,5,ban,Dhaka,Dhaka,132.00,2.41,ARC,Architecture
ARC-1,PHR-2,EEE-3,5,4.6,ban,Dhaka,Dhaka,60.00,3.41,ARC,Architecture
EEE-1,APE-2,ARC-3,5,3,eng,,,15.00,4,ARC,Architecture
ARC-1,BBA-2,CSE-3,4.6,4,eng,,,93.00,4,ARC,Architecture
ARC-1,EEE-2,CSE-3,5,3.6,ban,Dhaka,Dhaka,63.00,3.03,ARC,Architecture
ARC-1,CSE-2,EEE-3,5,5,ban,Dhaka,Dhaka,111.00,3.6,ARC,Architecture
ARC-1,CSE-2,CS-3,4.8,4.5,eng,,,56.00,2.18,ARC,Architecture
ARC-1,EEE-2,CSE-3,5,5,ban,Dhaka,Dhaka,54.00,2.88,ARC,Architecture
ARC-1,ECE-2,BBA-3,5,4.7,ban,Sylhet,Sylhet,15.00,2.92,ARC,Architecture
ARC-1,EEE-2,ECE-3,5,4.6,eng,,,66.00,2.54,ARC,Architecture
ARC-1,,,5,,ban,,,123.00,4,ARC,Architecture
ARC-1,MIC-2,MAT-3,5,5,ban,Dhaka,Dhaka,84.00,3.04,ARC,Architecture
ARC-1,BIO-2,MIC-3,5,,ban,Dhaka,Dhaka,21.00,2.86,ARC,Architecture
ARC-1,APE-2,EEE-3,5,5,ban,Dhaka,Dhaka,15.00,3.8,ARC,Architecture
ARC-1,EEE-2,BIO-3,5,,ban,,,42.00,2.01,ARC,Architecture
ARC-1,CSE-2,EEE-3,5,,ban,,,51.00,2.14,ARC,Architecture
ARC-1,CSE-2,ECE-3,5,,ban,Chittagong,Chittagong,22.50,2.17,ARC,Architecture
ARC-1,ECO-2,ENG-3,5,5,ban,Dhaka,Dhaka,15.00,2.34,ARC,Architecture
ARC-1,,,4.8,2.5,eng,,,27.00,3.71,ARC,Architecture
ARC-1,CS-2,,4.6,2.5,eng,,,81.00,3.75,ARC,Architecture
ARC-1,PHY-2,APE-3,5,4.6,ban,Chittagong,Chittagong,18.00,2,ARC,Architecture
ARC-1,ECO-2,,3.2,3,eng,,,90.00,2.62,ARC,Architecture
ARC-1,EEE-2,APE-3,5,4.7,ban,Dhaka,Dhaka,9.00,2.51,ARC,Architecture
ARC-1,LLB-2,BBA-3,5,5,ban,Dhaka,Dhaka,64.00,2.36,ARC,Architecture
ARC-1,CSE-2,EEE-3,5,4.9,ban,Dhaka,Dhaka,138.00,4,ARC,Architecture
ARC-1,EEE-2,ECE-3,5,4,ban,Jessore,Jessore,15.00,3.38,ARC,Architecture
CSE-1,EEE-2,ARC-3,5,4.3,eng-ver,Dhaka,Dhaka,117.00,2.7,ARC,Architecture
ARC-1,ECO-2,BBA-3,5,5,ban,Dhaka,Dhaka,9.00,2.87,ARC,Architecture
ARC-1,BBA-2,CSE-3,5,5,ban,Dhaka,Dhaka,124.00,2.36,ARC,Architecture
ARC-1,ENG-2,ECE-3,5,5,ban,Dhaka,Dhaka,12.00,2.58,ARC,Architecture
ARC-1,CSE-2,CS-3,5,4,eng,,,12.00,2.21,ARC,Architecture
ARC-1,,,5,4.4,ban,Chittagong,Chittagong,70.50,2.17,ARC,Architecture
ARC-1,EEE-2,APE-3,4.2,4,eng,,,72.00,3.63,ARC,Architecture
CSE-1,EEE-2,ARC-3,5,4.5,eng,,,69.00,3.76,ARC,Architecture
ARC-1,BBA-2,ECO-3,5,3.67,eng,,,57.00,3.86,ARC,Architecture
ARC-1,PHR-2,BBA-3,5,3.5,eng,,,108.00,2.78,ARC,Architecture
ARC-1,EEE-2,CSE-3,5,4.33,eng,,,48.00,2.01,ARC,Architecture
ARC-1,ENG-2,,4.44,4.9,ban,Jessore,Dhaka,15.00,2.28,ARC,Architecture
ARC-1,ECO-2,BBA-3,5,3.5,eng,,,9.00,3.86,ARC,Architecture
ARC-1,CSE-2,PHR-3,5,4,eng,,,66.00,3.54,ARC,Architecture
ARC-1,CSE-2,EEE-3,5,5,ban,Chittagong,Chittagong,41.50,2.8,ARC,Architecture
CSE-1,APE-2,ARC-3,5,5,eng-ver,Dhaka,Dhaka,102.00,2.15,ARC,Architecture
ARC-1,MIC-2,BIO-3,5,4.9,ban,Dhaka,Dhaka,39.00,2.5,ARC,Architecture
ARC-1,CSE-2,BBA-3,5,5,ban,Dhaka,Dhaka,84.00,3.72,ARC,Architecture
ARC-1,PHR-2,CSE-3,5,5,ban,Dhaka,Dhaka,84.00,2.42,ARC,Architecture
ARC-1,EEE-2,CSE-3,4.7,3.3,eng,,,57.00,4,ARC,Architecture
MIC-1,EEE-2,BIO-3,5,5,ban,Dhaka,Dhaka,42.00,2.57,ARC,Architecture
ARC-1,,,5,5,ban,Dhaka,Dhaka,54.00,2.27,ARC,Architecture
ARC-1,CSE-2,ECE-3,4.75,5,ban,Dhaka,Dhaka,101.50,2.69,ARC,Architecture
